Key,while,if,int,float,id,num,relop,addop,mulop,;,(,),-,+,$
METHOD_BODY,STATEMENT_LIST,STATEMENT_LIST,STATEMENT_LIST,STATEMENT_LIST,STATEMENT_LIST,,,,,,,,,,\SYNC\
STATEMENT_LIST,STATEMENT STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,,,,,,,,,,\SYNC\
STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,STATEMENT STATEMENT_LIST`,,,,,,,,,,\L
STATEMENT,WHILE,IF,DECLARATION,DECLARATION,ASSIGNMENT,,,,,,,,,,\SYNC\
WHILE,while ( EXPRESSION ) { STATEMENT },\SYNC\,\SYNC\,\SYNC\,\SYNC\,,,,,,,,,,\SYNC\
IF,\SYNC\,if ( EXPRESSION ) { STATEMENT },\SYNC\,\SYNC\,\SYNC\,,,,,,,,,,\SYNC\
DECLARATION,\SYNC\,\SYNC\,PRIMITIVE_TYPE id ;,PRIMITIVE_TYPE id ;,\SYNC\,,,,,,,,,,\SYNC\
PRIMITIVE_TYPE,,,int,float,\SYNC\,,,,,,,,,,
ASSIGNMENT,\SYNC\,\SYNC\,\SYNC\,\SYNC\,id = EXPRESSION ;,,,,,,,,,,\SYNC\
EXPRESSION,,,,,SIMPLE_EXPRESSION EXPRESSION1,SIMPLE_EXPRESSION EXPRESSION1,,,,\SYNC\,SIMPLE_EXPRESSION EXPRESSION1,\SYNC\,SIMPLE_EXPRESSION EXPRESSION1,SIMPLE_EXPRESSION EXPRESSION1,
EXPRESSION1,,,,,,,relop SIMPLE_EXPRESSION,,,\L,,\L,,,
SIMPLE_EXPRESSION,,,,,TERM SIMPLE_EXPRESSION`,TERM SIMPLE_EXPRESSION`,\SYNC\,,,\SYNC\,TERM SIMPLE_EXPRESSION`,\SYNC\,SIGN TERM SIMPLE_EXPRESSION`,SIGN TERM SIMPLE_EXPRESSION`,
SIMPLE_EXPRESSION`,,,,,,,\L,addop TERM SIMPLE_EXPRESSION`,,\L,,\L,,,
TERM,,,,,FACTOR TERM`,FACTOR TERM`,\SYNC\,\SYNC\,,\SYNC\,FACTOR TERM`,\SYNC\,,,
TERM`,,,,,,,\L,\L,mulop FACTOR TERM`,\L,,\L,,,
FACTOR,,,,,id,num,\SYNC\,\SYNC\,\SYNC\,\SYNC\,( EXPRESSION ),\SYNC\,,,
SIGN,,,,,\SYNC\,\SYNC\,,,,,\SYNC\,,-,+,
